id,code,name,account_type
account_students_receivable,101200,Students Receivable,asset_receivable
account_staff_payable,201200,Staff Payable,liability_payable
account_cash_on_hand,101100,Cash on Hand,asset_cash
account_bank_account,101400,Bank Account,asset_cash
account_student_fees,401100,Student Fees,income
account_teacher_salaries,601100,Teacher Salaries,expense
account_staff_salaries,601200,Staff Salaries,expense
account_dormitory_expenses,601300,Dormitory Expenses,expense
account_supplies,601400,Supplies,expense
